text,highlighted
Terms of service thank you for using stingle photos!,0
We're happy you're here.,0
Please read this terms of service agreement carefully before accessing or using stingle photos.,0
"Because it is such an important contract between us and our users, we have tried to make it as clear as possible.",0
"For your convenience, we have presented these terms in a short non-binding summary followed by the full legal terms.",1
Summary section what can you find there?,0
A.,0
"Definitions some basic terms, defined in a way that will help you understand this agreement.",0
Refer back to this section for clarification.,0
B.,0
Account terms these are the basic requirements of having an account on stingle photos c.,0
Acceptable use these are the basic rules you must follow when using your stingle photos account.,0
D.,0
Intellectual property notice this describes stingle photos rights in the website and service e.,0
Payment you are responsible for payment.,0
We are responsible for billing you accurately.,0
F.,0
Cancellation and termination,0
You may cancel this agreement and close your account at any time.,1
G.,0
Communications with stingle photos we only use email and other electronic means to stay in touch with our users.,0
We do not provide phone support.,0
H.,0
Disclaimer of warranties,0
We provide our service as is,1
", and we make no promises or guarantees about this service.",0
Please read this section carefully.,0
You should understand what to expect.,0
I.,0
Limitation of liability,0
We will not be liable for damages or losses arising from your use or inability to use the service or otherwise arising under this agreement.,1
Please read this section carefully.,0
It limits our obligations to you.,0
J.,0
Release and indemnification you are fully responsible for your use of the service.,0
K.,0
Changes to these terms of service we may modify this agreement.,0
L.,0
Miscellaneous please see this section for legal details including our choice of law.,0
The stingle photos terms of service,0
"Effective date: january 1, 2020",1
A.,0
"Definitions short version: we use these basic terms throughout the agreement, and they have specific meanings.",0
You should know what we mean when we use each of the terms.,0
"There's not going to be a test on it, but it's still useful information.",0
"The ""agreement"" refers, collectively, to all the terms, conditions and notices contained or referenced in this document (the ""terms of service"" or the ""terms"") and all other operating rules, policies (including the stingle photos privacy policy, available at stingle.org/privacy) and procedures that we may publish from time to time on the website.",0
"The ""service"" refers to the applications, software, products, and services provided by stingle photos.",0
"The ""website"" refers to stingle photos website located at stingle.org, and all content, services, and products provided by stingle photos at or through the website.",0
It also refers to stingle photos-owned subdomains of stingle.org.,0
"Occasionally, websites owned by stingle photos may provide different or additional terms of service.",0
"If those additional terms conflict with this agreement, the more specific terms apply to the relevant page or service.",0
"""the user,"" ""you,"" and ""your"" refer to the individual person, company, or organization that has visited or is using the website or service.",0
That accesses or uses any part of the account.,0
Or that directs the use of the account in the performance of its functions.,0
A user must be at least 13 years of age,1
"""stingle"", ""stingle photos"" ""we,"" and ""us"" refer to stingle llc, as well as our directors, subsidiaries, contractors, licensors, officers, agents, and employees.",0
"""content"" refers to content featured or displayed through the website, including without limitation text, data, articles, images, photographs, graphics, software, applications, designs, features, and other materials that are available on the website or otherwise available through the service.",0
"""content"" also includes services.",0
"""user-generated content"" is content, written or otherwise, created or uploaded by our users.",0
B.,0
Account terms short version: a human must create your account.,0
You must be 13 or over.,0
You must provide a valid email address.,0
And you may not have more than one free account.,0
You alone are responsible for your account and anything that happens while you are signed in to or using your account.,1
You are responsible for keeping your account secure.,1
1.,0
Required information,0
You must provide a valid email address in order to complete the signup process.,1
"Any other information requested is optional, unless you are accepting these terms on behalf of a legal entity (in which case we need more information about the legal entity) or if you opt for a paid account, in which case additional information will be necessary for billing purposes.",1
