text,highlighted
Terms of service,0
Last updated: 2020/12/02,1
1.,0
Terms,0
"By signing up to the the website at https://tryhackme.com, you are",0
"Agreeing to be bound by these terms of service, all applicable laws and regulations, and agree that you are",0
Responsible for compliance with any applicable local laws.,0
"If you do not agree with any of these terms, you",0
Are prohibited from using or accessing this site.,0
The materials contained in this website are protected by,0
Applicable copyright and trademark law.,0
2.,0
Use license,0
"Unless explicity stated or credited, users are assumed to own the material they used to create a room.",0
Users without subscriptions can only access non-subscription rooms.,0
This license shall automatically terminate if you violate any of these restrictions and may be,0
Terminated by tryhackme at any time.,0
Upon terminating your viewing of these materials or upon the,0
"Termination of this license, you must destroy any downloaded materials in your possession whether in",0
Electronic or printed format.,0
3.,0
Disclaimer,0
The materials on tryhackme's website are provided on an 'as is' basis.,1
"Tryhackme makes no warranties,",0
"Expressed or implied, and hereby disclaims and negates all other warranties including, without limitation,",0
"Implied warranties or conditions of merchantability, fitness for a particular purpose, or non-infringement",0
Of intellectual property or other violation of rights.,0
"Further, tryhackme does not warrant or make any representations concerning the accuracy, likely results,",1
Or reliability of the use of the materials on its website or otherwise relating to such materials or on,1
Any sites linked to this site.,1
4.,0
Limitations,0
"In no event shall tryhackme or its suppliers be liable for any damages (including, without limitation,",0
"Damages for loss of data or profit, or due to business interruption) arising out of the use or inability to",0
"Use the materials on tryhackme's website, even if tryhackme or a tryhackme authorized representative has",0
Been notified orally or in writing of the possibility of such damage.,0
Because some jurisdictions do not,0
"Allow limitations on implied warranties, or limitations of liability for consequential or incidental",0
"Damages, these limitations may not apply to you.",0
5.,0
Accuracy of materials,0
"The materials appearing on tryhackme's website could include technical, typographical, or photographic",0
Errors.,0
"Tryhackme does not warrant that any of the materials on its website are accurate, complete or",0
Current.,0
Tryhackme may make changes to the materials contained on its website at any time without notice.,0
However tryhackme does not make any commitment to update the materials.,0
6.,0
Links,0
Tryhackme has not reviewed all of the sites linked to its website and is not responsible for the contents,0
Of any such linked site.,0
The inclusion of any link does not imply endorsement by tryhackme of the site.,0
Use,0
Of any such linked website is at the user's own risk.,0
7.,0
Modifications,0
Tryhackme may revise these terms of service for its website at any time without notice.,1
By using this,0
Website you are agreeing to be bound by the then current version of these terms of service.,0
8.,0
Governing law,0
"These terms and conditions are governed by and construed in accordance with the laws of london, united",1
Kingdom and you irrevocably submit to the exclusive jurisdiction of the courts in that state or location.,1
9.,0
User code of conduct,0
"Tryhackme reserves the right to discontinue service for any user that violates these terms and conditions,",1
And the user conduct,1
We expect users to follow certain conditions including but not limited to:,0
Users must only attack infrastructure/material provided by a room they join.,0
Users must not distribute any malicious material to other user such as malware through the upload,0
"Functionality, or through any other means.",0
"User must abstain from any unlawful, inappropriate and abusive use of the content and the services",0
"Provided on this website at all times, in accordance with the existing legislation, and respect the",0
Intellectual property rights of tryhackme.,0
10.,0
Payments all payments on tryhackme are by third-party api's.,0
We do not store any personal payment details on the,0
Site (apart from the payment method).,0
By paying with 'stripe.com' you agree to their terms and conditions.,0
We only offer refunds on payments to this website via stripe.,0
We reserve the right to offer a refund.,1
All,0
Payments are final,0
We hold the right to close any account (without any form of refunds) at our discretion.,1
Privacy policy,0
Your privacy is important to us.,0
It is tryhackme's policy to respect your privacy regarding any information,0
"We may collect from you across our website, https://tryhackme.com, and",0
Other sites we own and operate.,0
Tryhackme adheres to gdpr(general data protection regulation) and are gdpr compliant when collecting and,1
Processing user information.,1
What data do we collect,0
We collect the following information,0
Full name,0
Username,0
Email,0
Password,0
Gender,0
Occupation information including job title and place of work,0
Feedback about user experience,0
Usage statistics on the platform.,0
Examples of these statistics include most accessed room and number of deployments,0
Some of these statics are sent to the third party analytics service: amplitude,1
Log data when you visit our website.,0
"This log data may include information such as your computer's ip address, browser page, pages of service you visit, your time spent there and other statistics.",0
Session recordings using hotjar.,0
These captures do not include any of the aformentioned personally identifiable information,0
How do we collect your data,0
We collect the aformentioned information on the sign up and profile pages of the website.,0
"We also collect feedback through the feedback section on the website, sending out forms via email, and focus groups and interviews with users.",0
Other information such as logging and usage statistics are gathered automatically when a user accesses features of tryhackme.,0
What do we use your data for,1
We use the information entered in the profile to help assess how to create appropriate content for the,1
Users.,1
"Depending on the users occupation and skill levels, we aim to create content the better suits their",1
Needs.,1
"When running specific events using tryhackme such as ctfs, users who sign up to such events on the",1
Platform are explicity notified that their information is used by organizing parties involved in the event.,1
"The gathering,",1
Processing and use of the data follows the aformentioned processes.,1
"By default, users opt-in to receiving emails from tryhackme, and this can be changed upon specific request",0
From the users how do we store your data,0
