text,highlighted
Vimeo terms of service,0
"Last updated: december 15, 2020",1
"This vimeo terms of service agreement (the agreement or terms of service ) is made between vimeo, inc.",0
"( vimeo, we, us, or our ) and you, our customer ( you or your ).",0
"This agreement governs your use of vimeo owned-and-operated websites, applications, and embeddable video players (collectively, the services ).",0
"This includes our vimeo, vimeo ott, and livestream services.",0
"Your use of our magisto, chant, and videofy services is governed exclusively by the vimeo creator tools terms of service agreement.",0
Notice: section 11 of this agreement contains a mandatory arbitration agreement for certain privacy claims that you or vimeo could assert.,0
"By using our services and accepting this agreement, you (1) agree to binding arbitration of these claims before a neutral arbitrator.",1
"And (2) waive your rights to go to court, have a jury hear your case, or participate as part of a class of plaintiffs with respect to such claims.",0
Content,0
Acceptance,0
Our services,0
Accounts,0
Subscription plans,0
Acceptable use policy,0
Licenses granted by you,0
Your obligations,0
Term and termination,0
Disclaimers,0
Limitation of liability,0
"Disputes, arbitration, and choice of law",0
General provisions,0
1.,0
"Acceptanceby creating an account, viewing videos, making a purchase, downloading our software, or otherwise visiting or using our services, you accept this agreement and consent to contract with us electronically.",0
"If you are an entity other than a natural person, the person who registers the account or otherwise uses our services must have the authority to bind the entity.",0
"In this context, you means both the entity and each person who is authorized to access the account.",0
We may update this agreement by posting a revised version on our website.,1
"By continuing to use our services, you accept any revised agreement.",1
This agreement includes our privacy policy and the addenda listed in section 12 below.,0
"Please review our privacy policy to learn about the information we collect from you, how we use it, and with whom we share it.2.",0
Our services,0
"Service license: subject to the terms hereof, we grant you access to our services.",0
This includes the right to:,0
Stream videos that you have the right to view,0
"Upload, store, and/or live stream videos, subject to your plan",0
Embed our embeddable video player on third-party websites.,0
And,0
Use all related functionality that we may provide.,0
Features: the features available to you will depend on your plan.,0
We may change features from time to time.,0
"If you have a paid account, we commit to providing the core video hosting and streaming features of your plan (including the bandwidth and storage capabilities stated at the time of purchase) during your current service period.",0
Unlimited bandwidth fair use policy: we provide self-serve users with unlimited bandwidth for standard uses of our embeddable video player for all accounts that are below the 99th percentile of bandwidth usage.,0
