text,highlighted
Skip to content open toolbar accessibility tools,0
Increase text,0
Decrease text,0
Grayscale,0
High contrast,0
Negative contrast,0
Light background,0
Links underline,0
Readable font,0
Reset,0
Skip to content search for:,0
Download,0
Faqs,0
Search for:,0
Download,0
Faqs,0
Terms &amp.,0
Conditionsdesiree mendez2020-09-05t23:18:52+00:00 mydata rewardstm terms of service,0
"Virtual world computing, llc",0
5425 hollister ave.,0
Suite 160,0
"Santa barbara, ca 93111",0
Need more info?,0
View additional questions &amp.,0
Answers,0
Visit faqs,0
Last updated: 07/27/20,0
These terms of service apply to the executable code version of cocoon,0
Cocoon is aimed at providing the best rewards program ( service ).,0
"As such, it s worth noting a few major items:",0
"By creating a cocoon account or logging in, you acknowledge and agree to cocoon collecting information on the apps installed on any device the software is installed on.",0
This information may be used to ensure that cocoon is able to promote relevant apps and offers.,0
Members are not permitted to attempt gaming or hacking the cocoon program in any way.,0
"Members will not, under any circumstances, encourage other members or any other persons to hack or game the cocoon program including via online blogs, forums, groups, etc.",0
"Members will not post referral links in an attempt to trick members or any other persons through deceptive means, inaccurate descriptions, fake earning opportunities or other questionable methods as determined by the cocoon staff.",0
Cocoon at its sole discretion will and can cancel or remove your account or suspend your account entirely if cocoon has reasons to believe that rewards were earned through means that are against the cocoon terms &amp.,1
Conditions as well as the spirit of the guidelines,1
"Examples of abuse that cocoon s automated technology will flag and will not be tolerated include: extended inactivity, software that attempts to manipulate the program in any way, and app usage anomalies outside of normal behavior patterns.",0
Violating any of these terms or any of the terms below will mean immediate revocation of earned rewards and potentially means being blacklisted from cocoon in perpetuity.,0
These terms and conditions ( agreement ) govern your use of the software.,0
Cocoon is pleased to provide and maintain our product (the software ).,0
"Except as otherwise indicated by cocoon, the software includes the cocoon mobile apps, tablet apps and any other versions of our product and any updates, new versions or new releases of the product.",0
Cocoon s software also includes the desktop web browser for windows and macintosh.,0
Cocoon s browser is built on the chromium open source project.,0
More about chromium and the copyrights and conditions can be learned about here: http://src.chromium.org/viewvc/chrome/trunk/src/license,0
Your relationship with cocoon,0
"Your use of cocoon s products, software, services and web sites (referred to collectively as the services in this document and excluding any services provided to you by cocoon under a separate written agreement) is subject to the terms of a legal agreement between you and cocoon.",0
"Cocoon refers to virtual world computing, whose principal place of business is at 5425 hollister ave, ste 160, santa barbara, ca 93111, united states.",0
"This document explains how the agreement is made up, and sets out some of the terms of that agreement.",0
"Unless otherwise agreed in writing with cocoon, your agreement with cocoon will always include, at a minimum, the terms and conditions set out in this document.",0
These are referred to below as the universal terms .,0
Open source software licenses for cocoon browser source code constitute separate written agreements.,0
"To the limited extent that the open source software licenses expressly supersede these universal terms, the open source licenses govern your agreement with cocoon for the use of cocoon browser or specific included components of cocoon.",0
"Your agreement with cocoon will also include the terms set forth below in the cocoon browser additional terms of service and terms of any legal notices applicable to the services, in addition to the universal terms.",0
All of these are referred to below as the additional terms .,0
"Where additional terms apply to a service, these will be accessible for you to read either within, or through your use of, that service.",0
"The universal terms, together with the additional terms, form a legally binding agreement between you and cocoon in relation to your use of the services.",0
It is important that you take the time to read them carefully.,0
"Collectively, this legal agreement is referred to below as the terms .",0
"If there is any contradiction between what the additional terms say and what the universal terms say, then the additional terms shall take precedence in relation to that service.",0
Accepting the terms,0
"In order to use the services, you must first agree to the terms.",0
You may not use the services if you do not accept the terms.,0
You can accept the terms by:,0
"(a) clicking to accept or agree to the terms, where this option is made available to you by cocoon in the user interface for any service.",0
Or,1
(b) by actually using the services.,0
"In this case, you understand and agree that cocoon will treat your use of the services as acceptance of the terms from that point onwards.",0
Language of the terms,0
"Where cocoon has provided you with a translation of the english language version of the terms, then you agree that the translation is provided for your convenience only and that the english language versions of the terms will govern your relationship with cocoon.",0
"If there is any contradiction between what the english language version of the terms says and what a translation says, then the english language version shall take precedence.",0
Provision of the services by cocoon,0
Cocoon has subsidiaries and affiliated legal entities around the world ( subsidiaries and affiliates ).,1
"Sometimes, these companies will be providing the services to you on behalf of cocoon itself.",1
You acknowledge and agree that subsidiaries and affiliates will be entitled to provide the services to you.,1
Cocoon is constantly innovating in order to provide the best possible experience for its users.,0
You acknowledge and agree that the form and nature of the services which cocoon provides may change from time to time without prior notice to you.,0
"As part of this continuing innovation, you acknowledge and agree that",0
"Cocoon may stop (permanently or temporarily) providing the services (or any features within the services) to you or to users generally at cocoon s sole discretion, without prior notice to you.",1
You may stop using the services at any time.,0
You do not need to specifically inform cocoon when you stop using the services.,0
"You acknowledge and agree that if cocoon disables access to your account, you may be prevented from accessing the services, your account details or any files or other content which is contained in your account.",0
Use of the services by you,0
"You agree to use the services only for purposes that are permitted by (a) the terms and (b) any applicable law, regulation or generally accepted practices or guidelines in the relevant jurisdictions (including any laws regarding the export of data or software to and from the united states or other relevant countries).",1
You agree that you will not engage in any activity that interferes with or disrupts the services (or the servers and networks which are connected to the services).,0
"Unless you have been specifically permitted to do so in a separate agreement with cocoon, you agree that you will not reproduce, duplicate, copy, sell, trade or resell the services for any purpose.",1
