text,highlighted
Terms of service terms of use for the thermomix recipe platform (cookidoo ) and the tm app effective date: july 8th 2019,0
Preamble,0
Use of cookidoo,0
Use of the app,0
Usage right,0
Subscriptions made on cookidoo,0
Costs,0
Delivery,0
Cookidoo subscription,0
Legally mandatory information,0
Disclaimer of warranty and limitation of liability,0
Indemnification,0
Modification of these terms of use,0
Governing law,0
Binding arbitration,0
No class actions,0
Mobile services,0
Notice and take-down procedures.,0
Copyright agent,0
"User comments, feedback and other submissions",0
Final provisions,0
"1 preamble these terms of use ( terms of use ) determine the use of the thermomix recipe platform ( cookidoo ), which is provided by vorwerk, llc, 3255 e.",0
"Thousand oaks blvd., thousand oaks, ca 91362( vorwerk ) available at cookidoo.thermomix.com ( website or site ) where users may subscribe to digital recipe files ( recipe or recipes ), which run or are displayed on specific thermomix or mobile devices.",0
Cookidoo may be accessed via the website or the mobile vorwerk app tm app ( app ).,0
These terms of use govern any agreement between vorwerk and the user ( user ) regarding cookidoo and the app (collectively paltform ).,0
Please read these terms of use carefully.,0
"By using the platform and when acquiring recipes, you agree to be bound by these terms of use.",0
"If you do not agree with these terms of use, you are not granted permission to access or otherwise use the platform or the recipes and are instructed to exit the app immediately.",0
Please check here for vorwerk s privacy policy.,0
"Should you have any questions about this agreement, wish to receive a copy of this agreement, or wish to contact us for any other reason, please contact us at service@thermomix.us",0
2 use of cookidoo,0
2.1 use of cookidoo is only possible after prior registration.,0
"Vorwerk reserves the right to also make certain content available to non-registered users, such as recipe previews.",0
"The availability of such content is, however, subject to vorwerk s sole discretion.",0
"2.2 with any submission or registration, correct and complete information must be provided.",0
"In the event of changes in your user data, your data should be updated, and incorrect user data should be corrected.",0
"If you provide any false, inaccurate, untrue, or incomplete information, vorwerk reserves the right to immediately terminate your access to and use of the cookidoo site, the app or the recipes and take other measures available under law, by contract, or in equity.",0
2.3 the user undertakes to keep secret the log-in credentials that he or she uses to access cookidoo .,0
"Furthermore, the user is in general responsible for any and all activities that occur under its account.",0
2.4 the user shall notify vorwerk immediately of any unauthorized use of its account or any other security breaches.,0
"2.5 in accordance with these terms of use, the user may subscribe to the recipes on cookidoo for a limited period of time.",0
The respective price for the recipes will be displayed to the user in advance.,0
"2.6 if recipes were created for specific thermomix devices, such recipes must only be used with those devices and not with other thermomix devices.",0
Vorwerk is not responsible for the use of a recipe on a thermomix model for which it was not created and users do so at their own risk.,0
2.7 the user shall not:,0
"Work around any technical limitations of cookidoo , the recipes or the app",0
Hack or modify cookidoo or the app,0
Modify the recipes,0
"Use cookidoo or the app for any purpose that is unlawful or prohibited by these terms of use or use cookidoo in any manner that could damage, disable, overburden or impair the infrastructure behind cookidoo and the app.",0
"2.8 vorwerk reserves the right to discontinue providing the infrastructure behind cookidoo and the app, however, not before the termination of a current recipe subscription.",0
Vorwerk will notify the user about such discontinuation via email to the address provided by the user.,0
"In case of such discontinuation, vorwerk will use reasonable endeavours to make the recipes available to the user in a format that allows the further use of the recipes without the app and cookidoo .",0
"2.9 vorwerk reserves the right to restrict access to particular functions or to disable the user s account if the user violates these terms of use, or to protect vorwerk, cookidoo , the app or vorwerk s business.",0
2.10 you represent to vorwerk that (1) you are at least the legal age of majority.,0
(2) you are authorized to enter into this agreement.,0
"(3) you will not use the cookidoo site, the app or the recipes for any purpose or in any manner that violates any law or regulation or that infringes the rights of vorwerk or any third party.",0
(4) any information or data provided to vorwerk by you will not violate any law or regulation or infringe the rights of vorwerk or any third party.,0
"(5) all information that you provide to us in connection with the cookidoo site, the app or the recipes (e.g., name, email address, and/or other information requested on a registration or submission form) is complete, true, and accurate.",0
And (6) you are authorized and able to fulfill and perform the obligations and meet the conditions of a user as specified herein.,0
"2.11 subject to vorwerk s right to monitor or audit compliance, you acknowledge and agree that it is solely your responsibility to maintain your compliance with the terms and conditions of this agreement.",0
"You also agree to be responsible for and to abide by all applicable local, state, national, and international laws, regulations, rules, and guidelines with respect to your use of the cookidoo site, the app or the recipes.",0
"You agree to assume all responsibility for your use, and the results of your use, of the cookidoo site, the app or the recipes.",0
"2.12 these terms of use will take effect (or re-take effect) at the time you [click i accept or confirm purchase ] respond to a request for or send a request for information or materials, and/or begin downloading installing, accessing, or using cookidoo or the app, whichever is earliest.",0
These terms of use will terminate automatically if you fail to comply with these terms of use.,0
"You may also terminate these terms of use at any time by ceasing to use cookidoo or the app and any recipe, but each re-access or use of cookidoo or the app will reapply these terms of use (and the terms and conditions then in effect) to you.",0
