text,highlighted
"Waymo web terms of service effective date: february 20, 2018these terms of service ( terms ) apply to your access to and use of the websites and other online products and services (collectively, the services ) provided by waymo llc ( waymo or we ), located at 1600 amphitheater parkway, mountain view, ca 94043.",0
"By using our services, you agree to these terms.",0
"If you do not agree to these terms, do not use our services.",0
"We may supply different or additional terms in relation to some of our services, and those different or additional terms become part of your agreement with us if you use those services.",0
"If there is a conflict between these terms and the additional terms, the additional terms will control for that conflict.",0
We may make changes to these terms from time to time.,1
"If we make changes, we will provide you with notice of such changes, such as by sending an email, providing a notice through our services, or updating the date at the top of these terms.",1
"Unless we say otherwise in our notice, the amended terms will be effective immediately and your continued use of our services after we provide such notice will confirm your acceptance of the changes.",0
"If you do not agree to the amended terms, you must stop using our services.",0
"For information about how we collect, use and share information about you, please see our privacy policy.",0
"If you have any questions about these terms or our services, please contact us at legal@waymo.com.",0
You and waymo agree as follows:1.,0
Eligibility,0
You must be at least 13 years of age to use our services.,1
"If you are under 18 years of age (or the age of legal majority where you live), you may only use our services under the supervision of a parent or legal guardian who agrees to be bound by these terms.",0
"If you are a parent or legal guardian of a user under the age of 18 (or the age of legal majority), you agree to be fully responsible for the acts or omissions of such user in relation to our services.",0
"If you use our services on behalf of another person or entity, (a) all references to you throughout these terms will include that person or entity, (b) you represent that you are authorized to accept these terms on that person or entity s behalf, and (c) in the event you or the person or entity violates these terms, the person or entity agrees to be responsible to us.2.",0
"User contentour services may allow you and other users to create, post, store and share content, including messages, text, photos, videos, software and other materials (collectively, ""user content"").",0
"Except for the license you grant below, you retain all rights in and to your user content, as between you and waymo.",1
"You grant waymo and its subsidiaries a perpetual, irrevocable, nonexclusive, royalty-free, worldwide, fully-paid, and sub-licensable license to use, reproduce, modify, adapt, publish, translate, create derivative works from, distribute, publicly perform and display your user content and any name, username or likeness provided in connection with your user content in all media formats and channels now known or later developed without compensation to you.",1
"When you post or otherwise share user content on or through our services, you understand that your user content and any associated information (such as your username or profile photo) may be visible to the public.",0
"You may not create, post, store or share any user content that violates these terms or for which you do not have all the rights necessary to grant us the license described above.",0
"You represent and warrant that your user content, and our use of such content as permitted by these terms, will not violate any rights of or cause injury to any person or entity.",0
"Although we have no obligation to screen, edit or monitor user content, we may delete or remove user content at any time and for any reason with or without notice.",1
3.,0
"Prohibited conduct and contentyou will not violate any applicable law, contract, intellectual property or other third-party right or commit a tort, and you are solely responsible for your conduct while using our services.",0
You will not:,0
"Engage in any harassing, threatening, intimidating, predatory or stalking conduct",0
Impersonate or post on behalf or any person or entity or otherwise misrepresent your affiliation with a person or entity,0
"Sell, resell, or commercially use our services",0
"Copy, reproduce, distribute, publicly perform or publicly display all or portions of our services, except as expressly permitted by us or our licensors",0
"Modify our services, remove any proprietary rights notices or markings, or otherwise make any derivative works based upon our services",0
"Use our services other than for their intended purpose and in any manner that could interfere with, disrupt, negatively affect or inhibit other users from fully enjoying our services or that could damage, disable, overburden or impair the functioning of our services in any manner",0
Reverse engineer any aspect of our services or do anything that might discover source code or bypass or circumvent measures employed to prevent or limit access to any part of our services,0
Attempt to circumvent any content-filtering techniques we employ or attempt to access any feature or area of our services that you are not authorized to access,0
"Use any data mining, robots, or similar data gathering or extraction methods designed to scrape or extract data from our services",1
Develop or use any applications that interact with our services without our prior written consent,0
"Send, distribute, or post spam, unsolicited or bulk commercial electronic communications, chain letters, or pyramid schemes",0
Bypass or ignore instructions contained in our robots.txt file.,0
Or,0
"Use our services for any illegal or unauthorized purpose, or engage in, encourage or promote any activity that violates these terms.",0
You may also only post or otherwise share user content that is non-confidential and you have all necessary rights to disclose.,0
"You may not create, post, store or share any user content that:",0
"Is unlawful, libelous, defamatory, obscene,",0
Pornographic,1
", indecent, lewd, suggestive, harassing, threatening, invasive of privacy or publicity rights, abusive, inflammatory or fraudulent",0
