text,highlighted
Backblaze terms of service,0
"Last updated: february 12, 2020",0
Welcome to backblaze!,0
Thank you for using our service.,0
We're glad you're here.,0
"These terms of service (""terms"") apply to your use of backblaze's website, products, and services.",0
Please read them carefully and let us know if you have any questions.,0
"By using backblaze, you agree to be bound by these terms.",0
If you're using backblaze on behalf of an,0
"Organization, you agree to these terms on behalf of that organization.",0
Content,0
All content on backblaze is protected by intellectual property laws.,0
You'll find a few different types,0
Of content on our service.,0
Your files,0
"You can back up, host, store, and share your own files on backblaze.",0
The materials you upload to,1
Backblaze are yours and yours alone.,1
You give us permission to use that material solely to do what's,0
"Necessary to provide our services, including storing, displaying, reproducing, and distributing those",0
Materials.,0
"We don't sell the files you store with us to third parties, and we don't use them for advertising",0
Purposes.,0
We can disclose your files only in the limited circumstances described in our privacy notice.,0
You're solely responsible for the files you upload to backblaze and assume all risks associated with,0
"Them, including intellectual property or other legal claims.",0
"By storing files with backblaze, you",0
"Represent that you have the necessary rights to that material, and that doing so doesn't conflict with",0
Any licenses you've granted to others.,0
Our services will allow you to share your files with others.,0
Please be careful about what files you,0
Choose to share.,0
"Backblaze doesn't actively monitor the files you upload, download or share.",0
"However, we",0
"Have the right to remove files you store with backblaze for any reason (such as copyright infringement,",0
"We learn the material is patently unlawful, we learn the material is malware or supports the",0
"Distribution of malware, etc.)",0
We assume no liability for any content that you or anyone else stores,0
With backblaze.,0
Backblaze's content and brand features,0
"Backblaze is protected by copyright, trademark, and other laws.",0
"Backblaze gives you a personal,",0
"Worldwide, royalty-free, non-assignable and non-exclusive license to use the software we provide you to",0
Use our service.,0
This license is for the sole purpose of enabling you to use backblaze as permitted by,0
These terms.,0
"If you violate these terms, we may terminate this license.",0
All rights to backblaze except third-party content are the exclusive property of backblaze and its,0
Licensors.,0
"Nothing in these terms authorizes you to use any of backblaze trademarks, logos, domain",0
"Names, or other distinctive brand features except as otherwise permitted by law.",0
Prohibited activities,0
Backblaze strives to maintain a great service.,0
"To that end, we require you to respect these limitations,",0
And we may terminate your account if you don't follow them.,0
"Don't use backblaze in a manner that violates any laws, regulations, ordinances, or directives.",0
Don't use backblaze contrary to our policies.,0
"Don't use backblaze to do anything threatening, abusive, harassing, defamatory, tortious, or",0
Invasive of another person's privacy.,0
"Don t use backblaze to store or host files in support of malware, phishing, spam, and similar",0
Activities,0
"Don't interfere with the proper functioning of any software, hardware, or equipment on",0
Backblaze.,0
"Don't engage in any conduct that inhibits anyone else's use or enjoyment of our services, or",0
Which we determine may harm backblaze or our users.,0
"Don't monitor or copy any material on backblaze, either manually or through automated means",0
"(i.e., scraping), without prior written consent.",0
Our rights,0
"We're always working to improve backblaze and make our services better, so we do reserve some rights.",0
In,0
"Our sole discretion, we may, at any time with or without notice change, eliminate or restrict access to",0
"Our services, and modify, suspend, or terminate a user account.",0
"If you stop paying for our service, we",0
Reserve the right to terminate your account and delete your data.,0
Backblaze is not liable for any damages,0
As a result of these actions.,0
Other sites and services,0
"Backblaze may contain links to websites, services, and advertisements that we neither own nor control.",0
