text,highlighted
These terms of service applies to individual users.,0
"To view all our policies, check out the index.",0
"This is the current version of these terms, dated 5 january 2016.",0
1.,0
Welcome to flat,0
1.1.,0
"Flat operates a platform which allows you create, edit, share and collaborate on music scores using our website located at flat.io and the flat application (available for download on your mobile device) (the service ).",0
1.2.,0
"The service is operated by tutteo limited ( we , our , or us )",0
2.,0
Your relationship with us,0
2.1,0
"This document and any documents referred to within it (collectively, the terms of service ) set out the terms of your relationship with us.",0
It is important that you read and understand the terms of service before using the service.,0
"If there is anything within them that you do not understand, then please contact us at support@flat.io to discuss what this means for you.",0
2.2,0
By setting up an account with us or using and accessing the service you agree to these terms of service.,0
"If you do not agree to these terms of service, please do not browse or otherwise access or use the service",0
3.,0
Information about us,0
3.1,0
Tutteo limited is incorporated and registered in england and wales under company number 09734095.,0
"Our registered office is at 9th floor, 107 cheapside, london, ec2v 6dn, united kingdom",0
4.,0
Information about you,0
4.1,0
Your privacy is important to us.,0
"You should read our privacy policy to understand how we collect, use and share information about you",0
5.,0
Setting up an account,0
5.1,0
"To access our service, you must register with us and set up an account with an id and password (your account ).",1
"We encourage you to use strong passwords (passwords that use a combination of upper and lower case letters, numbers and symbols) with your account.",0
5.2.,0
You must be 13 years or older and capable in your country of residence of entering into a legal binding agreement to use our service.,1
5.3,0
You may connect to our service with a third-party service (e.g.,0
Facebook or google) and you give us permission to access and use your information from that service as permitted by that service and as set out in our privacy policy.,0
"If you do connect to flat through a third-party service, your use of the third-party service is subject to the terms of that service.",0
5.4,0
You are responsible for maintaining the confidentiality of your login details and any activities that occur under your account.,1
"If you have any concerns that your account may have been misused, you should contact us at support@flat.io straight away to let us know",0
6.,0
Free and premium service,0
6.1,0
"We offer two types of service, a free service through which users can create, edit, collaborate on and share music scores (the free service ) and a paid service which users can create a non-limited number of private music scores, print and export unbranded documents (i.e.",0
"Without flat mention or any watermark), use our advanced history (commercially called smart history ) and have the ability to select a midi output (the premium service using the product name flat power ).",0
6.2,0
Details of the functionality you are provided with when using the free service or the premium service are available here https://flat.io/pricing.,0
6.3,0
"Aside from your 14 day right to cancel (see section 8.1), you may cancel, upgrade or downgrade your account at anytime as indicated in your account settings for the service.",0
Any cancellation or downgrade of the premium service will take effect at the end of the period you have subscribed to the premium service for.,0
6.4,0
You will be permitted to use the functionality of the free service until we or you cancel your account in accordance with these terms of service,0
7.,0
Your right to use the service,0
7.1,0
The materials and content comprising the service (excluding user content) belongs to us and we give you permission to use these materials and content for the sole purpose of using the service in accordance with these terms of service.,0
7.2,0
"Your right to use the service is personal to you and you are not allowed to give this right to another person or to sell, gift or transfer your account to another person.",0
Your right to use the service does not stop us from giving other people the right to use the service.,0
7.3,0
"Other than as allowed in these terms of service you are not given a right to use the flat name, or any of the flat trademarks, logos, domain names and other distinctive brand features.",0
7.4,0
"As part of our service, we allow you to download our application (including any updates) from our site or via an app store (our application ) for use on your mobile device for the sole purpose of accessing and using our service in accordance with these terms of service and we grant you a non-exclusive, personal, non-transferable licence for this sole purpose.",0
7.5,0
"Unless allowed by these terms of service and as permitted by the functionality of the service, you agree:",0
(a) not to copy our application or any portion of the service,0
(b) not to give or sell or otherwise make available our application or any portion of the service to anybody else,0
(c) not to change our application or any portion of the service in any way,0
(d) not to look for or access the code of our application or any portion of the service that we have not expressly published publicly for general use.,0
7.6,0
"You agree that all confidential information, copyright and other intellectual property rights in our application or any portion of the service belong to us or the people who have licenced us to use those rights.",0
7.7,0
You agree that you have no rights in or to our application or any portion of the service other than the right to use them in accordance with these terms of service 8.,0
Cancellation,0
8.1,0
"If you are in the eu, you have a right to cancel your subscription to the premium service without giving us any reason for up to 14 days after you signed up to the premium service.",0
"You can find further information in our cancellation policy, available at https://flat.io/legal/individual-cancellation.",0
8.2,0
"If you would like to cancel your subscription to the premium service outside of the 14 day cancellation period, but carry on using the premium service until the end of your current subscription period, please read the following instructions: https://flat.io/settings/account/cancel-subscription.",0
8.3.,0
Your subscription to the premium service might auto-renew at the end of the subscription period,1
"If you want do not want your subscription to auto-renew, follow the instructions in our cancellation policy, available at https://flat.io/legal/individual-cancellation",0
9.,0
Flat service,0
9.1,0
"Flat is a platform which allows you to create, share and collaborate on music scores as permitted by the functionality of the service and your account.",0
9.2,0
We may from time to time provide social features on flat such as social networking services where users can create online personal profiles and interact with other users.,0
9.3,0
Any use of the flat social features should comply with our rules of acceptable use below.,0
9.4,0
"We do not oversee, monitor or moderate any social features we provide although we may remove content in contravention of these terms of service as set out below.",0
"If we do decide to moderate a social feature, we will make this clear before you use the feature and normally provide you with a means of contacting the moderator, should a concern or difficulty arise",0
10.,0
Your content,0
10.1,0
"You confirm that music, sounds, text or information that you make available or create ( user content ) whilst using the service will meet the rules of acceptable use",0
10.2.,0
Private user content,0
We do not claim ownership in your user content.,1
