text,highlighted
Sign infeaturesfaqblogpressaboutget started,0
Sign in,0
Features,0
Faq,0
Blog,0
Press,0
About,0
Sign interms of service,0
"Updated: january 18th, 2022",1
"Introductionterms of service are long, legalistic documents.",0
Here are some important highlights from neeva s terms of service below:,0
Please don t abuse our services.,0
We may cancel your account if you do so.,0
Our free basic tier services are currently free to use.,0
"We also offer, for a fee, premium tier services which include a range of additional benefits.",0
Only upload data that you have rights to.,0
We will use that data only in connection with our products or services or as directed by you.,0
"For example, we might make copies and/or move the data around to provide services to you.",0
"A search engine can be used for a lot of purposes: we are going to try every single time to show you great results (and never ads, or affiliate links), but we can t guarantee the quality of the results you get.",0
"We suggest that you consult experts regarding important topics involving your health, money, legal matters, etc.",0
"We are not your doctor, financial advisor, or lawyer.",0
Your data is yours.,0
We won t sell your data or show ads on the services.,0
Lawsuits are expensive.,0
"To save you and us money, you are agreeing to settle disputes by arbitration.",0
Please read our privacy policy.,0
"It provides important details about what data we collect, how we use that data, and with whom we share that data.",0
We ve also included a plain english summary before each section of the terms.,0
"While this introduction section and those summaries aren t part of the terms, we hope they ll help you understand this important document.terms of serviceplease read these terms of service (the terms ) and our privacy policy (https://neeva.com/privacy) ( privacy policy ) carefully because they govern your use of the website located at https://neeva.com (the site ) and the proprietary software platform, including any associated mobile applications we may make available ( app ), web interfaces and browser extensions offered by neeva, inc.",0
"( neeva , our , we , us ).",0
"To make these terms easier to read, the site, our web interfaces and browser extension and app are collectively called the services",0
Important notice regarding arbitration for u.s.,0
"Customers: when you agree to these terms you are agreeing, (with limited exception), to resolve any dispute between you and neeva through binding, individual arbitration rather than in court.",0
Please review carefully section 17 dispute resolution below for details regarding arbitration.,0
"Section 1 informs you that by signing up for an account, you or your company are agreeing to these terms.",0
1.,0
Agreement to terms,0
"By clicking on create neeva account or one of sign up with google , sign up with apple and sign up with microsoft near which a prominent link to this terms of service and to the neeva privacy policy are displayed, you agree to be bound by these terms.",0
"If you don t agree to be bound by these terms, do not use the services and create a neeva account.",0
"If you are accessing and using the services on behalf of a company, (such as your employer), or other legal entity, you represent and warrant that you have the authority to bind that entity to these terms.",0
"In that case, you and your will refer to that entity.",0
Section 2 asks you to read our privacy policy and lets you know that it s part of these terms.,0
2.,0
Privacy policy,0
"Please review our privacy policy, which also governs your use of the services, for information on how we collect, use, and share your information.",0
Section 3 informs you that neeva may change these terms or the services from time to time.,0
"If we change the terms, you ll find the new terms on the site or we ll notify you in another way.",0
"By using the services after we change the terms, you re agreeing to the new terms.",0
"If we change the services in a significant way that negatively affects your use of the services, we ll let you know.",0
