text,highlighted
"Posted on: december 13, 2018",0
"Effective date: december 13, 2018",1
Content guidelines,0
These types of sites are not allowed on weebly:,0
Adult: .,0
"Involving nudity in a sexual context,",0
Exposed genitalia or adult themes,0
Copyrighted content: .,0
"Music, movies or games",0
That you do not own the rights to,0
Hate speech: content that promotes violence or,0
"Incites hatred against certain individuals or groups, such as race, religion,",0
"Ethnicity, gender, or sexual orientation.",0
"The foregoing are examples, and not",0
Meant to constitute an exhaustive list of individuals or groups that may be the,0
Target of hate speech.,0
Spam/seo: .,0
A site whose sole purpose is to gain,0
"Google ranking, facebook ""likes"", etc",0
Phishing: .,0
A site meant to trick users into,0
Providing their username and password,0
Illegal content: .,0
Content which may be illegal,0
In the united states or under the laws of other countries,0
Scams: .,0
"Get rich quick, pyramid/mlm, or other",0
Dubious schemes,0
Excessive advertising: .,0
Placing excessive,0
"Advertising on your site, including more than three ad units per page",0
File hosting: .,0
Including sites that are not,0
Created with the weebly editor,0
Injurious experience: .,0
Sites using the,0
"""custom html"" element that provide a horrible user experience, such",0
"As extreme flashing banners, excessive animated movement, or content that could",0
Provoke seizures in unsuspecting visitors,0
Illegal/inappropriate products: sites that,0
"Offer or sell items that are illegal, weapons, counterfeit, stolen, fraudulent,",0
"Infringing, violate rights of privacy/publicity, offensive, pornographic, or",0
Manufactured/intended to be weapons,0
This list is a quick reference and is not meant to be complete.,0
For more,0
"Specific information, please read carefully the terms below.",0
1.,0
Acceptance of terms,0
Thank you for,0
Using weebly!,0
These terms of service ( terms ) are a legal agreement between,0
You and weebly (as defined below) and govern your use and access to weebly s,0
"Website creation service, including our website hosting services, websites,",0
"Communication tools, mobile applications, and ecommerce tools and other",0
Services (collectively the service ) that are made available through the website,0
"(http://weebly.com) and associated domains owned by weebly (collectively, the",0
Site ) or otherwise made available by weebly.,0
"By using the service in any way,",0
"You agree to and accept these terms, our privacy notice, and any other legal",0
Notices or guidelines posted on the site.,0
If you are using our service for an,0
"Organization, you are agreeing to these terms on behalf of that organization.",0
These terms will also apply when you use the service on a trial basis.,0
If you,0
"Do not agree to these terms, do not use the service.",0
When these,0
"Terms mention weebly, we, us, or our, it",0
Refers to the square company you are contracting with.,0
Your contracting entity,0
Will generally be determined based on your country of residence.,0
Your country,0
Of residence is the jurisdiction associated with your weebly account as,0
Determined by either your express selection or by weebly s assessment of your,0
Residence using various data attributes associated with your weebly account.,0
"If your country of residence is the united states, you",0
"Are contracting with square, inc., 1455 market street, suite 600, san",0
"Francisco, ca 94103, united states.",0
"If your country of residence is canada, you are contracting with square technologies, inc.",0
"If your country of residence is japan, you are contracting with",0
Square kk.,0
"If your country of residence is australia, you are contracting",0
"With square au pty, ltd.",0
"If your country of residence is the united kingdom, ireland or",0
"Anywhere except united states, canada, japan, or australia, you are contracting",0
With squareup international ltd.,0
In addition to,0
"The restrictions set forth above, you are prohibited from creating or using a",0
Weebly account or otherwise using the service if you are not legally capable of,0
"Entering into contracts, for example, if you are not the age of majority in",0
Your country of residence.,0
If you are not the age of majority in your country,0
"Or region, you may only create or use a weebly account with the supervision and",0
Consent of a parent or guardian or alternatively through a special student,0
"Account created by a teacher through education.weebly.com, provided",0
The teacher has obtained signed consent from your parent or guardian.,0
2.,0
Description of service,0
Our web-based,0
"Service allows users who register for an account (each an ""account",0
"Holder"") to create and update an online web site.",0
"Once registered, each",0
Account holder receives his or her own web site and may post,0
"""content"" (defined in section 8).",0
"Any new features on the service,",0
"Including the release of new weebly tools and resources, shall be subject to",0
These terms.,0
"To use the service, you must have access to the internet, either",0
"Directly or through devices that access web-based content, and you must pay any",0
Fees associated with internet access.,0
"In addition, you must provide all",0
"Equipment necessary to make such connection to the internet, including a web-enabled",0
Computer.,0
"The service may include certain communications from us, such as",0
"Service announcements, administrative messages, and the weebly newsletter.",0
These communications are considered part of weebly membership.,0
You may not,0
Access the service by any means other than through the service interfaces we,0
Provide you.,0
3.,0
Registration,0
To register as,0
"An account holder, you must provide us with a valid email address and other",0
"Personal information (""registration data"").you will choose a password",0
And account designation for your web sites during the registration process and,0
You will obtain a weebly id.,0
You are responsible for maintaining the,0
"Confidentiality of the password and account, and for all activities that occur",0
Under your account.,0
"In consideration of use of the service, you agree to",0
"Maintain and update true, accurate, current and complete registration data.",0
If,0
