Highlighted Clause,Plain Language Summary
"""To provide our services, though, we need you to give us some legal permissions to use that content.""",Users must grant Facebook legal permissions to use their content in order to receive services.
"""A termination for good cause is possible only within a reasonable time frame after becoming aware of the violation.""",Termination for valid reasons by the user is subject to a reasonable timeliness condition upon discovery of the breach.
"""If we remove content that you have shared for violation of our community standards we’ll let you know and explain any options you have to request another review, unless you seriously or repeatedly violate these terms or if doing so may expose us or others to legal liability.""","Facebook will notify users and provide review options if content is removed for violating standards, unless repeated violations or legal risks prevent it."
"""You must obtain our written permission (or permission under an open source license) to modify, create derivative works of, decompile, or otherwise attempt to extract source code from us.""",Users need written or open source license permission to alter Facebook's software or extract its source code.
"""In all other cases, you agree that the claim must be resolved in a competent court in the republic of Ireland and that Irish law will govern these terms and any claim, without regard to conflict of law provisions.""","Users agree to submit any claims to a court in the Republic of Ireland, where Irish law will apply without conflict of laws consideration."
"""If you delete or we disable your account, these terms shall terminate as an agreement between you and us, but the following provisions will remain in place : 3.3.1, 4.2-4.5.""","Upon account deletion by the user or disabling by Facebook, the agreement ends but certain provisions will still apply."
"""Only your legacy contact or a person who you have identified in a valid will or similar document expressing clear consent to disclose your content upon death or incapacity will be able to seek disclosure from your account after it is memorialized.""","After an account is memorialized, only a legacy contact or someone empowered by a will can seek content disclosure."
"""These terms do not confer any third-party beneficiary rights.""",The terms do not grant rights to anyone not party to the agreement.
"""Our data policy explains how we use data to support this research for the purposes of developing and improving our services.""",The data policy details the use of data for research to enhance services.
"""Limits on liability we are liable only as follows: we have unlimited liability in accordance with statutory provisions: arising out of injury damaging to life, limb or health.""",Facebook's liability is limited and only unlimited for statutory provisions resulting in injury.
"""If we fail to enforce any of these terms, it will not be considered a waiver.""",Facebook not enforcing terms does not equate to a waiver of those terms.
"""We use the data we have to make suggestions for you and others - for example, groups to join, events to attend, pages to follow or send a message to, shows to watch, and people you may want to become friends with.""","Facebook utilizes user data to personalize suggestions, such as groups, events, pages, shows, and potential friends."
