Highlight,Summary
"We reserve the right to suspend or end the services at any time, with or without cause, and with or without notice.","OpenStreetMap can stop their services anytime without any reason or warning."
"All changes will be effective immediately upon posting to the OSMF website unless they specify a later date.","Any updates to terms will apply once posted online unless stated otherwise."
"You are responsible for backing up data that you use with the services.","You must save your own data as OpenStreetMap won't do it for you."
"Please check these terms periodically for changes -- your continued use of the services after new terms become effective constitutes your binding acceptance of the new terms.","Keep checking the terms because if you keep using the service after changes, it means you accept them."
"Changes to services or terms we may modify these terms and other terms related to your use of the services (like our privacy policy) from time to time, by posting the changed terms on the OSMF website.","The terms and privacy policy might change, and the new versions will be posted online."
"Upon cancellation or suspension, your right to use the services will stop immediately.","If your account is canceled or suspended, you can't use the service anymore."
"Your use of the services is at your sole risk.","You use OpenStreetMap at your own risk."
"We make no warranty that our services will meet your requirements, be safe, secure, uninterrupted, timely, accurate, or error-free, or that your information will be secure.","OpenStreetMap doesn’t promise that its services will be perfect or completely secure."
"We are not responsible for the content, data, or actions of third parties, and you release us from any claims related to third parties.","OpenStreetMap is not liable for things that happen because of other users or companies."
"You may not use the services to: disseminate or store material that infringes the copyright.","You can't use the service to share or store content that violates copyright laws."
"You are free to stop using the services any time.","You can stop using OpenStreetMap whenever you want."
"We retain the right to create limits on use and storage at our sole discretion at any time with or without notice.","OpenStreetMap can set limits on how you use the service and how much data you can store without telling you."
"We may add, change, replace, remove, or discontinue the features and functions of the services, including APIs.","OpenStreetMap can change or remove features anytime."
"You agree that we may freely exploit and make available any and all feedback, suggestions, ideas, enhancement requests, recommendations you provide.","Any feedback you give to OpenStreetMap can be used by them without paying you."
"If you seek to file a legal claim against us, you agree to file and resolve it exclusively in a court located in London, United Kingdom.","If you have a legal issue with OpenStreetMap, you have to deal with it in London's courts."
"You should not reveal any personal data in any communications you have regarding your map edits.","Don't share personal info when talking about your map changes."
"Use by minors you must be 13 years or older to use the services.","You have to be at least 13 to use OpenStreetMap."
"You also agree that English law will govern these terms.","UK laws apply to these terms of service."
"The account must not contain any personal data about you.","Your OpenStreetMap account shouldn't have your personal info."
"Use by an entity if you are entering into this agreement on behalf of your company, you confirm you have the power to bind that company to these terms.","If you sign up for OpenStreetMap for a company, you're saying that the company agrees to these terms."
"You may not use, store, or process any personal data available through the services for any purpose other than those outlined.","You can only use personal info from OpenStreetMap for certain approved purposes."
"We do not support anonymous contributions and retain additional, non-geographic, data.","OpenStreetMap keeps some of your data and doesn't allow nameless edits to the map."
"In no event shall our liability exceed one thousand British pounds (GBP 1000.00) in aggregate.","The most you can get from OpenStreetMap if something goes wrong is £1000."
"OpenStreetMap Foundation Services Terms of Use adopted by the OSMF board on September the 20th 2018.","These terms started on September 20, 2018."
"By using these services, you agree to be bound by the following terms of service.","When you use OpenStreetMap, you're agreeing to these terms."
"This agreement does not intend to form any kind of legal partnership or employment between you and OpenStreetMap.","Using OpenStreetMap doesn't create a business or work relationship with them."
"You are legally responsible for your edits and contributions.","What you change or add to OpenStreetMap maps is your legal responsibility."
"Contributions to OSM are governed by the OSM contributor terms.","The rules for adding to the map are set by a specific OpenStreetMap contract."
"Personal information that we collect may be stored and processed anywhere we or our partners have facilities.","Your personal info could be kept in different countries."
"We hope that no serious disagreements arise, but if there's a dispute, we encourage you to try resolving it through our services first.","If there's a problem, OpenStreetMap wants you to try to solve it using their systems before going to court."
"We provide the services on an 'as is' and 'as available' basis.","OpenStreetMap doesn't promise its service will be up or working all the time."
