Highlighted Clause,Plain Language Summary
"""We will note the date that revisions were last made to this agreement at the bottom of this agreement, and any revisions will take effect upon posting.""","""Any changes to the agreement will be updated with the date at the bottom of the agreement document, and these changes become effective once posted."""
"""No software from the services may be downloaded or otherwise exported or re-exported... into (or to a national or resident of) Cuba, Iraq, Sudan, North Korea, Iran, Syria, or any other country to which the U.S. has embargoed goods.""","""Users are prohibited from downloading or exporting the service's software to countries that are subject to U.S. embargoes."""
"""All such information, software, products, and service offerings made available by or through the services are provided 'as is' without warranty of any kind.""","""All information, software, products, and services are offered without any kind of warranty."""
"""The tripadvisor companies are not liable for the acts, errors, omissions, representations, warranties, breaches or negligence of any such suppliers or for any personal injuries, death, property damage, or other damages or expenses resulting therefrom.""","""TripAdvisor is not responsible for any harm or damages caused by the actions or failures of third-party suppliers."""
"""We may change or otherwise modify this agreement in the future in accordance with the terms and conditions herein, and you understand and agree that your continued access or use of the services after such change signifies your acceptance of the updated or modified agreement.""","""Continued use of the service after any changes to the agreement implies the user's acceptance of the new terms."""
"""The tripadvisor companies will not interfere with reservations arbitrarily, but reserve the right to withdraw booking facilitation services because of certain extenuating circumstances.""","""TripAdvisor reserves the right to withdraw booking services under extenuating circumstances but will not do so arbitrarily."""
"""As a user, you must be responsible for your use of the services... and any transaction involving vacation rentals, restaurants or experiences facilitated by tripadvisor’s corporate affiliates.""","""Users are responsible for their use of TripAdvisor services and any transactions made through it involving rentals, restaurants, or experiences."""
"""By using any interactive areas, you expressly agree only to submit content of yours that complies with tripadvisor’s published guidelines, as are in force at the time of submission.""","""Users agree to comply with TripAdvisor's guidelines when submitting content on interactive parts of the service."""
"""The tripadvisor companies accept no liability for travelers who are refused entry onto a flight or into any country... not liable for damages or losses that may result from travel to such destinations.""","""TripAdvisor is not liable for travelers being refused entry onto flights or into countries, nor for damages from travel to risky destinations."""
"""The tripadvisor companies may also impose limits or otherwise restrict your access to all or parts of the services without notice or liability.""","""TripAdvisor may limit or restrict access to the services without notice or liability."""
"""Tripadvisor may terminate this agreement with you at any time, without advanced notice, where it believes in good faith that you have breached this agreement or otherwise believes that termination is reasonably necessary to safeguard the rights of the tripadvisor companies and/or others users of the services.""","""TripAdvisor can terminate the agreement with a user at any time without notice if it believes there has been a breach or for the protection of rights."""
"""You expressly agree not to post, upload to, transmit, distribute, store, create or otherwise publish through the services any content of yours that... [contains prohibited activities].""","""Users agree not to engage in prohibited activities such as posting harmful content or using the service for unlawful purposes."""
"""You agree and understand that the tripadvisor companies may place advertising and promotions on the services alongside, near, adjacent, or otherwise in close proximity to your content.""","""Users consent to TripAdvisor placing advertising and promotions near their content within the service."""
"""The license you grant the tripadvisor companies as modified by these paragraphs 1-6 shall be referred to as a ‘restricted license’.""","""The terms of the content license granted to TripAdvisor are described as a 'restricted license' within specific confines."""
"""The tripadvisor companies do not control such websites and are not responsible for their contents or the privacy or other practices of such websites.""","""TripAdvisor does not control third-party websites and is not responsible for their content or privacy practices."""
"""Tripadvisor disclaims all warranties, conditions, or other terms of any kind that the services, its servers or any data... are free of viruses or other harmful components.""","""TripAdvisor does not warrant that its service, servers, or data are free from viruses or other harmful components."""
"""You agree to defend and indemnify the tripadvisor companies and any of their officers, directors, employees and agents from and against any claims... as a result of: (i) your breach of this agreement;... (iii) your use of the services.""","""Users agree to defend and indemnify TripAdvisor against any claims arising from their breach of the agreement or use of services."""
"""If you elect to limit the tripadvisor companies’ use of your content under this agreement... your and our rights and obligations shall remain subject to the balance of the terms of this agreement.""","""Choosing to limit TripAdvisor’s use of your content does not affect other rights and obligations under the agreement."""
